大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
183220001000,けやき台,36.079891,136.317249,1,1
183220002000,下浄法寺,36.098810,136.347026,1,1
183220003000,下谷口,36.093526,136.338151,1,1
183220004000,花谷,36.089417,136.342262,1,1
183220005000,岩野,36.097261,136.361128,1,1
183220006000,吉波,36.095899,136.366771,1,1
183220007000,吉峰,36.061186,136.421035,1,1
183220008000,京善,36.074306,136.322431,1,1
183220009000,栗住波,36.072036,136.395079,1,1
183220010000,光明寺,36.089834,136.346526,1,1
183220011000,荒谷,36.066495,136.341497,1,1
183220012000,高橋,36.096345,136.332209,1,1
183220013000,轟,36.085134,136.361518,1,1
183220014000,山,36.092661,136.324270,1,1
183220015000,山王,36.080521,136.396525,1,1
183220016000,市右エ門島,36.084284,136.392587,1,1
183220017000,市荒川,36.074912,136.419673,1,1
183220018000,市野々,36.066619,136.330770,1,1
183220019000,志比,36.057188,136.353494,1,1
183220020000,寺本,36.077121,136.323605,1,1
183220021001,松岡葵一丁目,36.094269,136.298336,1,3
183220021002,松岡葵二丁目,36.093190,136.297025,1,3
183220021003,松岡葵三丁目,36.092729,136.295295,1,3
183220022001,松岡越坂一丁目,36.082408,136.301238,1,3
183220022002,松岡越坂二丁目,36.083235,136.299101,1,3
183220023000,松岡下合月,36.103898,136.295726,1,1
183220024000,松岡学園,36.111901,136.293057,1,1
183220025001,松岡観音一丁目,36.094440,136.285658,1,3
183220025002,松岡観音二丁目,36.094347,136.283184,1,3
183220025003,松岡観音三丁目,36.093173,136.285374,1,3
183220026000,松岡吉野,36.080680,136.299322,1,1
183220027000,松岡吉野堺,36.086027,136.292402,1,1
183220028000,松岡宮重,36.071447,136.296299,1,1
183220029000,松岡兼定島,36.108451,136.285430,1,1
183220030000,松岡御公領,36.107908,136.291742,1,1
183220031000,松岡志比堺,36.099794,136.309467,1,1
183220032000,松岡室,36.090602,136.283734,1,1
183220033001,松岡芝原一丁目,36.091553,136.294346,1,3
183220033002,松岡芝原二丁目,36.091504,136.291752,1,3
183220033003,松岡芝原三丁目,36.091314,136.288609,1,3
183220034001,松岡春日一丁目,36.091595,136.298720,1,3
183220034002,松岡春日二丁目,36.091053,136.295875,1,3
183220034003,松岡春日三丁目,36.089852,136.297407,1,3
183220035000,松岡小畑,36.072916,136.286340,1,1
183220036001,松岡松ケ丘一丁目,36.084313,136.297891,1,3
183220037001,松岡松ケ原一丁目,36.094670,136.291062,1,3
183220037002,松岡松ケ原二丁目,36.094487,136.288008,1,3
183220037003,松岡松ケ原三丁目,36.093491,136.288458,1,3
183220037004,松岡松ケ原四丁目,36.092426,136.287946,2,3
183220038000,松岡上吉野,36.057230,136.302991,1,1
183220039000,松岡上合月,36.103922,136.301223,1,1
183220040001,松岡神明一丁目,36.095919,136.301870,1,3
183220040002,松岡神明二丁目,36.095057,136.300153,1,3
183220040003,松岡神明三丁目,36.093719,136.301131,1,3
183220041000,松岡清水,36.089029,136.301733,1,1
183220042000,松岡西野中,36.069505,136.292823,1,1
183220043000,松岡石舟,36.086459,136.301212,1,1
183220044000,松岡渡新田,36.106460,136.277634,1,1
183220045000,松岡島,36.063916,136.290089,1,1
183220046000,松岡湯谷,36.064926,136.300976,1,1
183220047000,松岡樋爪,36.113165,136.295554,1,1
183220048000,松岡平成,36.111275,136.283264,1,1
183220049000,松岡末政,36.106303,136.289728,1,1
183220050001,松岡木ノ下一丁目,36.095466,136.295400,1,3
183220050002,松岡木ノ下二丁目,36.094818,136.293492,1,3
183220050003,松岡木ノ下三丁目,36.094182,136.294622,1,3
183220051001,松岡薬師一丁目,36.097876,136.305896,1,3
183220051002,松岡薬師二丁目,36.096744,136.303361,1,3
183220051003,松岡薬師三丁目,36.095555,136.306353,1,3
183220052000,松岡領家,36.117975,136.283877,1,1
183220053000,松岡椚,36.095041,136.291026,2,1
183220054000,上浄法寺,36.100646,136.355428,1,1
183220055000,上谷口,36.089057,136.338115,1,1
183220056000,諏訪間,36.088050,136.317024,1,1
183220057000,清水,36.079986,136.402003,1,1
183220058000,石上,36.070784,136.406931,1,1
183220059000,浅見,36.077633,136.381248,1,1
183220060000,大月,36.075174,136.392936,1,1
183220061000,大野島,36.082069,136.398748,1,1
183220062000,竹原,36.072798,136.410796,1,1
183220063000,中浄法寺,36.098416,136.352133,1,1
183220064000,中島,36.077766,136.413641,1,1
183220065000,東古市,36.100414,136.325655,1,1
183220066000,東諏訪間,36.091161,136.322498,1,1
183220067000,藤巻,36.069991,136.417775,1,1
183220068000,栃原,36.094030,136.374079,1,1
183220069000,飯島,36.090853,136.359656,1,1
183220070000,法寺岡,36.099026,136.321683,1,1
183220071000,北島,36.084618,136.377879,1,1
183220072000,牧福島,36.082455,136.383612,1,1
183220073000,鳴鹿山鹿,36.100834,136.335122,1,1
183220074000,野中,36.081752,136.376176,1,1
183220075000,せせらぎ,36.073147,136.394809,0,1
